City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Bredasdorp,94,ZA,1573951124,82,-34.53,20.04,287.15,2.6
Luderitz,18,NA,1573951140,72,-26.65,15.16,291.15,9.8
Fonte Boa,82,BR,1573951145,97,-2.51,-66.09,297.38,0.76
Cherskiy,67,RU,1573951150,100,68.75,161.3,250.55,0.87
Chernyshevskiy,100,RU,1573951155,92,63.01,112.47,246.2,4.69
Sume,93,RS,1573951160,76,43.62,20.22,287.15,4.1
Hobart,40,AU,1573951166,35,-42.88,147.33,287.59,7.7
Hami,0,CN,1573951176,29,42.84,93.51,262.52,1.58
Faanui,3,PF,1573951181,82,-16.48,-151.75,299.91,6.35
Cap Malheureux,40,MU,1573951186,83,-19.98,57.61,297.59,5.7
Port Elizabeth,90,US,1573951191,37,39.31,-74.98,280.93,4.6
Port Blair,20,IN,1573951037,76,11.67,92.75,301.08,4.54
Upernavik,100,GL,1573951202,63,72.79,-56.15,266.27,4.93
Abnub,19,EG,1573951207,79,27.27,31.15,288.84,5.41
Okato,66,NZ,1573951217,94,-39.19,173.88,289.26,8.81
Eldorado,24,BR,1573951222,90,-24.52,-48.11,291.1,0.65
Tiksi,99,RU,1573951228,97,71.64,128.87,253.16,2.06
Maryville,1,US,1573951233,61,35.76,-83.97,282.15,3.25
Berlevag,13,NO,1573951238,77,70.86,29.09,272.71,5.24
Norman Wells,90,CA,1573951243,76,65.28,-126.83,252.15,2.1
Dryden,90,CA,1573951248,69,49.79,-92.84,276.15,6.2
Pangai,20,TO,1573951253,54,-19.8,-174.35,300.15,5.1
Yar-Sale,100,RU,1573951259,96,66.83,70.83,251.92,7.94
Chuy,95,UY,1573951269,83,-33.69,-53.46,293.67,0.16
Shimoda,75,JP,1573951274,55,34.7,138.93,290.15,5.1
Araouane,88,ML,1573951279,18,18.9,-3.53,297.86,4.0
Kavieng,94,PG,1573951285,76,-2.57,150.8,301.52,5.23
Menongue,100,AO,1573951290,78,-14.66,17.68,293.16,1.94
Bafia,75,CM,1573951295,98,4.74,11.22,293.93,0.59
Atbasar,89,KZ,1573951300,94,51.81,68.36,263.7,3.57
Mount Gambier,90,AU,1573951305,67,-37.83,140.78,287.15,5.7
Half Moon Bay,90,US,1573951119,93,37.46,-122.43,296.48,3.6
Abu Dhabi,45,AE,1573951316,60,24.47,54.37,295.15,1.0
Karratha,0,AU,1573951321,52,-20.74,116.85,301.99,2.84
Yulara,0,AU,1573951326,10,-25.24,130.99,304.15,5.1
Okhotsk,96,RU,1573951331,73,59.36,143.24,262.8,7.62
Narsaq,100,GL,1573951336,40,60.91,-46.05,275.15,12.3
Kodiak,1,US,1573951357,45,39.95,-94.76,283.15,5.1
Hualmay,30,PE,1573951367,84,-11.1,-77.61,290.33,1.76
Campo de Criptana,2,ES,1573951372,72,39.41,-3.13,276.37,3.49
Viedma,38,AR,1573951383,37,-40.81,-62.99,290.5,9.0
Akdepe,0,TM,1573951388,73,42.05,59.39,269.15,4.1
Isangel,75,VU,1573951393,51,-19.55,169.27,302.15,5.1
Mastung,0,PK,1573951398,69,29.8,66.85,279.42,0.58
Mitsamiouli,75,KM,1573951403,85,-11.38,43.28,299.96,2.43
Mangualde,72,PT,1573951409,82,40.6,-7.77,280.93,0.45
Armizonskoye,100,RU,1573951414,94,55.95,67.67,272.07,5.72
Jimenez,75,PA,1573951419,83,8.54,-82.37,300.15,1.5
Bubaque,98,GW,1573951424,75,11.28,-15.83,301.24,4.21
Villa Carlos Paz,10,AR,1573951429,57,-31.42,-64.5,299.26,5.7
Rio Grande,36,BR,1573951391,78,-32.03,-52.1,293.15,5.55
Port Hardy,90,CA,1573951440,93,50.7,-127.42,283.15,8.2
Naze,100,NG,1573951445,95,5.43,7.07,296.93,1.56
Cidreira,0,BR,1573951450,65,-30.17,-50.22,293.62,3.66
Vuktyl,98,RU,1573951455,92,63.86,57.31,269.98,4.86
Ponta do Sol,54,BR,1573951460,81,-20.63,-46.0,293.27,1.96
Lebu,44,ET,1573951465,70,8.96,38.73,282.64,0.47
Cocoa Beach,90,US,1573951217,87,28.32,-80.61,287.15,8.2
Nileshwar,40,IN,1573951481,94,12.25,75.1,297.15,1.0
Bilma,16,NE,1573951486,25,18.69,12.92,295.27,0.73
Coquimbo,40,CL,1573951491,87,-29.95,-71.34,288.15,3.6
Lagoa,2,PT,1573951496,81,37.14,-8.45,283.71,3.1
Hambantota,75,LK,1573951502,85,6.12,81.12,298.94,3.16
Nagorsk,100,RU,1573951507,97,59.32,50.8,272.31,2.38
Kahului,40,US,1573951495,65,20.89,-156.47,301.15,8.7
Buraydah,20,SA,1573951522,77,26.33,43.97,289.15,2.6
Frejus,100,FR,1573951527,65,44.93,6.54,272.04,0.82
Funadhoo,42,MV,1573951533,76,6.15,73.27,300.73,5.42
Xai-Xai,0,MZ,1573951543,87,-25.04,33.64,292.72,1.64
Butaritari,100,KI,1573951548,79,3.07,172.79,300.52,5.61
Norsup,98,VU,1573951553,83,-16.07,167.38,302.15,6.2
Along,43,IN,1573951558,90,28.17,94.8,288.08,1.48
Salalah,40,OM,1573951564,57,17.01,54.1,298.15,1.0
Ust-Kan,99,RU,1573951569,79,50.93,84.77,255.01,3.33
Elko,1,US,1573951574,37,40.83,-115.76,285.15,2.6
Luwuk,66,ID,1573951579,72,-0.95,122.79,300.22,3.18
Porirua,100,NZ,1573951584,63,-41.14,174.84,292.15,7.2
Rameswaram,15,IN,1573951589,75,9.28,79.3,300.98,2.9
Bograd,40,RU,1573951595,77,54.22,90.86,255.15,3.0
Mende,99,FR,1573951600,99,44.52,3.5,273.08,0.55
Kovdor,100,RU,1573951605,95,67.56,30.47,267.56,1.26
Pangnirtung,8,CA,1573951610,74,66.15,-65.72,259.19,1.81
Pevek,90,RU,1573951615,86,69.7,170.27,257.47,1.6
Ilam,0,IR,1573951620,37,33.64,46.42,276.15,1.0
Nikolskoye,90,RU,1573951626,93,59.7,30.79,276.48,3.0
Bulaevo,100,KZ,1573951631,93,54.91,70.44,270.58,5.34
Santa Rita,20,BR,1573951636,78,-7.13,-34.98,299.15,3.6
Letlhakane,30,BW,1573951641,35,-21.42,25.59,298.78,4.93
Derbent,97,RU,1573951651,72,42.06,48.29,284.0,8.29
Indi,0,IN,1573951657,79,17.17,75.96,294.42,3.28
Ranong,36,TH,1573951662,100,9.96,98.62,296.15,1.91
Antofagasta,75,CL,1573951667,72,-23.65,-70.4,291.15,2.6
Rocha,68,UY,1573951672,87,-34.48,-54.34,291.0,2.91
Benguela,89,AO,1573951677,80,-12.58,13.4,297.4,1.91
Naryan-Mar,83,RU,1573951688,93,67.67,53.09,266.31,5.33
Mehamn,4,NO,1573951693,92,71.03,27.85,267.6,5.41
Atuona,22,PF,1573951698,70,-9.8,-139.03,299.94,5.86
Ruwi,100,OM,1573951449,41,23.6,58.55,298.15,3.1
Jonkoping,100,SE,1573951708,93,57.78,14.16,279.82,5.1
Xiuyan,100,CN,1573951714,49,40.29,123.27,275.83,0.64
Shivrajpur,0,IN,1573951719,83,22.42,73.65,295.15,2.1
Eydhafushi,39,MV,1573951724,76,5.1,73.07,300.83,5.22
Yellowknife,90,CA,1573951682,92,62.45,-114.38,259.26,2.6
Ryotsu,19,JP,1573951734,50,38.08,138.43,286.15,3.6
Lichinga,100,MZ,1573951739,90,-13.3,35.25,293.13,1.5
Oskarshamn,85,SE,1573951745,93,57.26,16.44,280.93,5.1
Emba,0,CY,1573951750,59,34.81,32.42,292.15,3.6
Saint-Francois,75,FR,1573951755,93,46.42,3.91,275.15,1.0
Hilo,90,US,1573951760,78,19.71,-155.08,299.15,2.6
Inhambane,27,MZ,1573951765,89,-23.87,35.38,294.92,4.46
Ugoofaaru,61,MV,1573951771,76,5.67,73.0,300.97,6.0
Te Anau,78,NZ,1573951776,84,-45.41,167.72,280.33,4.79
Palmer,20,AU,1573951781,48,-34.85,139.16,291.48,4.6
Bantou,0,CN,1573951786,55,26.22,117.49,289.35,0.79
Namanga,35,KE,1573951791,86,-2.55,36.79,292.7,2.01
Rock Sound,46,BS,1573951796,84,24.9,-76.2,297.67,6.58
Sarkand,0,KZ,1573951802,32,45.41,79.91,267.76,0.6
Ancud,90,CL,1573951807,100,-41.87,-73.83,284.15,8.2
San Jose,100,HN,1573951716,91,14.25,-87.96,290.47,2.83
Sinnamary,2,GF,1573951817,80,5.38,-52.96,301.09,6.37
Bell Ville,4,AR,1573951822,60,-32.63,-62.69,296.38,4.41
Waipawa,100,NZ,1573951828,54,-39.94,176.59,294.26,3.13
Ust-Maya,100,RU,1573951833,97,60.42,134.54,246.36,1.66
Tual,68,ID,1573951838,77,-5.67,132.75,301.02,1.18
Adrar,0,DZ,1573951843,34,27.87,-0.29,284.15,3.6
Hasaki,20,JP,1573951848,55,35.73,140.83,289.15,5.7
Noumea,100,NC,1573951853,40,-22.28,166.46,305.15,5.1
Namibe,74,AO,1573951858,78,-15.19,12.15,294.68,6.51
San Cristobal,94,HN,1573951864,98,14.68,-86.92,291.6,1.98
Valparaiso,1,US,1573951844,94,41.47,-87.06,275.37,3.6
Husavik,91,CA,1573951874,95,50.56,-96.99,275.93,2.68
Mitu,0,IR,1573951879,62,36.2,46.09,268.85,4.77
Mahibadhoo,75,MV,1573951884,78,3.78,72.97,300.51,4.54
Remontnoye,12,RU,1573951890,93,46.56,43.66,275.15,6.0
Saint-Augustin,5,CA,1573951900,61,45.63,-73.98,265.93,2.1
Lancaster,1,US,1573951628,48,40.04,-76.31,274.82,2.96
Gwadar,100,PK,1573951910,40,25.12,62.33,298.0,3.4
Ostrovnoy,75,RU,1573951915,95,68.05,39.51,268.27,2.78
Pitimbu,20,BR,1573951799,78,-7.47,-34.81,299.15,3.6
Vardo,1,US,1573951926,26,39.62,-77.74,275.37,3.1
Tessalit,44,ML,1573951931,18,20.2,1.01,293.34,1.41
Evensk,69,RU,1573951936,75,61.92,159.24,260.25,5.95
Tuktoyaktuk,40,CA,1573951941,76,69.44,-133.03,250.15,4.1
Zyrardow,97,PL,1573951946,100,52.05,20.45,284.26,0.5
Takestan,79,IR,1573951952,79,36.07,49.69,271.13,2.02
Osakarovka,98,KZ,1573951957,65,50.56,72.58,263.59,6.24
Sao Filipe,68,CV,1573951962,79,14.9,-24.5,295.87,7.23
Van,0,TR,1573951967,49,38.51,43.37,269.15,3.24
Souillac,90,FR,1573951972,88,45.6,-0.6,277.59,0.98
Tura,70,RU,1573951977,95,64.27,100.22,238.68,0.79
Fortuna,90,US,1573951983,100,40.6,-124.16,285.93,5.1
Jalu,76,LY,1573951988,55,29.03,21.55,289.47,5.37
Huarmey,2,PE,1573951993,75,-10.07,-78.15,291.4,1.62
Ribeira Grande,55,PT,1573951998,72,38.52,-28.7,288.58,3.02
Egvekinot,56,RU,1573952003,95,66.32,-179.17,258.38,4.46
Padang,100,ID,1573952008,87,-0.92,100.36,292.82,1.46
Tinskoy,100,RU,1573952014,71,56.15,96.92,254.9,3.12
Klaksvik,100,FO,1573952019,86,62.23,-6.59,276.15,2.1
Melfi,5,IT,1573952029,78,41.0,15.66,286.15,3.1
Natal,40,BR,1573952034,78,-5.81,-35.21,299.15,4.6
Kalanguy,100,RU,1573952039,82,51.01,116.52,253.33,3.27
Batemans Bay,89,AU,1573952050,65,-35.71,150.18,292.04,1.79
Cabra,0,ES,1573952055,63,37.47,-4.43,279.82,0.5
Kapaa,75,US,1573952060,66,22.08,-159.32,302.15,4.6
San Ramon,48,NI,1573952065,87,12.92,-85.84,293.49,1.84
Hithadhoo,91,MV,1573952076,79,-0.6,73.08,300.5,6.36
Tsabong,64,BW,1573952081,13,-26.02,22.4,296.83,4.22
Nuevitas,40,CU,1573952086,94,21.55,-77.27,297.15,3.1
Aviles,90,ES,1573952091,71,43.55,-5.92,283.71,6.2
Margate,40,AU,1573952096,30,-43.03,147.26,288.15,6.7
Shaping,57,CN,1573952101,89,29.23,103.26,281.31,1.1
Adelaide,20,AU,1573951887,48,-34.93,138.6,291.48,4.6
The Pas,90,CA,1573952117,79,53.82,-101.24,269.15,6.7
Nishihara,75,JP,1573952122,44,35.74,139.53,290.37,3.1
Atambua,27,ID,1573952127,53,-9.11,124.89,302.52,1.19
Mantua,75,IT,1573951949,93,45.16,10.79,284.26,2.6
Khatanga,80,RU,1573952143,89,71.98,102.47,248.13,0.86
Kualakapuas,54,ID,1573952148,70,-3.01,114.39,301.37,1.99
Suclayin,100,PH,1573952153,87,15.76,121.55,295.19,1.86
Geraldton,90,CA,1573952158,85,49.72,-86.95,273.15,9.8
Zyryanka,100,RU,1573952163,95,65.73,150.89,254.06,6.41
Dikson,0,RU,1573952174,87,73.51,80.55,249.17,3.99
Lasa,0,CY,1573952179,59,34.92,32.53,292.15,1.0
Vila Velha,20,BR,1573952184,78,-3.71,-38.6,300.15,3.1
Poum,88,MK,1573952200,91,41.28,20.71,279.6,2.3
Grass Valley,1,US,1573952205,59,39.22,-121.06,293.15,1.39
Sibanicu,40,CU,1573952210,94,21.23,-77.53,297.15,3.1
Ballina,100,IE,1573952215,95,54.11,-9.15,279.82,0.89
Kaspi,90,GE,1573952220,86,41.93,44.42,277.15,2.89
Longyearbyen,75,NO,1573952226,96,78.22,15.63,273.15,2.1
Assiniboia,100,CA,1573952231,84,49.63,-105.99,274.49,6.0
Fairbanks,75,US,1573952236,77,64.84,-147.72,260.15,2.4
Victoria,75,BN,1573952241,83,5.28,115.24,301.15,1.48
Boende,100,CD,1573952246,99,-0.28,20.88,295.52,1.17
Acari,28,BR,1573952256,84,-6.44,-36.64,294.47,9.54
Griffith,5,AU,1573952262,34,-34.29,146.06,292.04,6.7
Jiayuguan,64,CN,1573952267,48,39.77,98.29,259.63,0.9
Katangli,100,RU,1573952272,96,51.71,143.23,272.51,5.82
Alandi,36,IN,1573952277,81,18.68,73.9,293.8,1.61
Kaliganj,1,BD,1573952282,77,23.41,89.13,293.59,1.28
Coolum Beach,33,AU,1573952287,78,-26.53,153.09,303.71,2.38
Itaituba,88,BR,1573952293,90,-4.26,-55.99,297.74,0.93
Siguiri,93,GN,1573952298,29,11.42,-9.17,300.41,1.27
Airai,38,TL,1573952303,22,-8.93,125.41,301.63,3.59
Toora-Khem,79,RU,1573952308,81,52.47,96.11,247.69,1.85
Chara,20,GR,1573952313,93,39.42,22.43,285.15,2.1
Mount Isa,13,AU,1573952318,8,-20.73,139.49,308.15,8.7
Tautira,20,PF,1573952324,58,-17.73,-149.15,304.15,2.6
Ukiah,1,US,1573952329,43,39.15,-123.21,295.93,1.5
Lahij,5,YE,1573952334,70,13.06,44.88,298.49,7.17
Nemuro,75,JP,1573952339,54,43.32,145.57,271.15,7.7
Muzhi,91,RU,1573952344,98,65.4,64.7,261.31,4.05
Kropotkin,0,RU,1573952349,71,45.43,40.58,279.2,5.62
Sharjah,0,AE,1573952360,56,25.36,55.39,297.15,3.1
Lashio,0,MM,1573952365,97,22.93,97.75,285.27,0.67
Mahebourg,40,MU,1573952370,83,-20.41,57.7,297.59,5.7
Ayan,9,IR,1573952375,87,38.23,44.7,267.17,0.29
Concepcion del Uruguay,83,AR,1573952380,61,-32.48,-58.24,297.59,1.91
Kadom,32,RU,1573952386,84,54.57,42.47,273.25,4.14
Guerrero Negro,8,MX,1573952391,76,27.97,-114.04,292.42,5.56
Vinh,61,VN,1573952401,92,18.67,105.69,294.83,0.43
Khasan,27,RU,1573952406,28,42.43,130.64,270.23,1.15
Turukhansk,67,RU,1573952412,81,65.8,87.96,245.18,3.86
Mana,0,NG,1573952427,25,13.03,5.27,299.65,1.24
Quatre Cocos,40,MU,1573952432,83,-20.21,57.76,297.59,5.7
Itarema,0,BR,1573952437,76,-2.92,-39.92,298.58,4.47
Mwinilunga,100,ZM,1573952443,86,-11.73,24.43,290.7,0.68
Kaitangata,63,NZ,1573952453,42,-46.28,169.85,290.93,4.92
Newport,75,GB,1573952458,75,51.59,-3.0,280.15,2.1
Ternate,20,PH,1573952463,83,14.29,120.72,302.04,1.5
Stalis,100,IT,1573952469,93,46.56,12.86,284.26,2.68
Mineral Wells,1,US,1573952474,67,32.81,-98.11,287.04,2.6
Flinders,75,AU,1573952479,63,-34.58,150.85,295.37,6.2
Provideniya,100,RU,1573952484,90,64.42,-173.23,266.18,4.82
Najran,73,SA,1573952489,42,17.54,44.22,291.15,1.59
Bonthe,72,SL,1573952494,80,7.53,-12.5,299.99,2.64
Hanzhong,70,CN,1573952500,69,33.08,107.03,285.78,0.96
Kampot,40,KH,1573952332,83,10.62,104.18,299.15,0.5
Touros,40,BR,1573952525,78,-5.2,-35.46,299.15,5.7
Xiongzhou,95,CN,1573952531,68,32.34,118.83,294.26,2.0
Santa Rosalia,40,IT,1573952536,53,38.07,13.27,295.15,11.8
Clyde River,90,CA,1573952338,71,70.47,-68.59,259.15,3.6
Savannakhet,40,TH,1573952546,94,16.57,104.76,294.15,1.0
Leh,100,IN,1573952551,81,34.16,77.58,262.96,2.1
Xucheng,100,CN,1573952557,68,33.0,118.51,288.97,1.34
Xuddur,61,SO,1573952562,77,4.12,43.89,294.49,4.06
Donja Dubica,73,BA,1573952567,93,45.08,18.41,282.59,2.6
Sistranda,75,NO,1573952572,77,63.73,8.83,277.15,7.7
East London,27,ZA,1573952577,78,-33.02,27.91,292.23,2.04
Mizan Teferi,68,ET,1573952583,88,6.99,35.58,289.74,1.84
Gorebridge,100,GB,1573952588,100,55.84,-3.05,278.15,1.5
Osorno,52,CL,1573952598,76,-40.57,-73.14,284.57,2.77
Edd,0,ER,1573952603,45,13.93,41.69,300.78,4.44
Falam,0,MM,1573952608,67,22.91,93.68,283.54,0.56
Katrineholm,94,SE,1573952614,93,59.0,16.21,282.15,4.6
Yongan,58,CN,1573952619,50,39.7,113.69,272.4,6.71
Sao Joao da Barra,77,BR,1573952451,80,-21.64,-41.05,295.26,3.31
Riyadh,29,SA,1573952424,58,24.63,46.72,288.15,1.5
Ust-Omchug,98,RU,1573952639,94,61.13,149.63,249.66,3.34
Honningsvag,0,NO,1573952528,77,70.98,25.97,271.9,6.4
Saraiu,90,RO,1573952650,100,44.72,28.16,287.15,2.6
Jasper,1,US,1573952655,86,33.83,-87.28,282.15,2.06
Atar,67,MR,1573952665,35,20.52,-13.05,292.85,5.02
Dunmore Town,76,BS,1573952671,79,25.5,-76.65,296.53,8.26
Grand-Santi,71,GF,1573952676,86,4.27,-54.38,297.15,1.02
Gunjur,100,GM,1573952681,83,13.18,-16.76,298.15,1.0
Pangkalanbuun,24,ID,1573952691,77,-2.68,111.62,300.12,1.0
Yumen,63,CN,1573952696,28,40.29,97.04,263.24,4.93
Kiomboi,100,TZ,1573952702,60,-4.28,34.41,295.01,1.69
Mokhsogollokh,51,RU,1573952707,93,61.4,128.95,247.4,2.85
Gubkinskiy,100,RU,1573952717,95,64.43,76.5,251.62,6.55
Vallenar,0,CL,1573952727,84,-28.58,-70.76,286.44,1.72
Northam,90,AU,1573952733,78,-31.65,116.67,295.15,2.6
Aitape,100,PG,1573952738,77,-3.15,142.36,300.96,1.85
Adre,31,TD,1573952743,28,13.47,22.2,295.76,5.91
Santa Elena,75,EC,1573952753,88,-2.23,-80.86,296.15,6.2
Riacho de Santana,96,BR,1573952758,43,-13.61,-42.94,304.15,2.6
Tuatapere,41,NZ,1573952764,61,-46.13,167.69,287.04,3.58
Gra Liyia,20,GR,1573952769,93,35.02,25.68,290.37,2.6
Los Llanos de Aridane,90,ES,1573952774,59,28.66,-17.92,292.15,6.7
Sept-Iles,20,CA,1573952481,67,50.2,-66.38,269.26,4.6
Matay,6,EG,1573952784,91,28.42,30.79,288.69,4.1
Fairlie,1,US,1573952790,39,33.31,-95.96,286.15,1.5
Seoul,20,KR,1573952358,65,37.57,126.98,282.15,0.5
Huangchuan,0,CN,1573952805,87,24.57,102.46,285.93,4.0
Saint Anthony,20,US,1573952810,33,43.97,-111.68,281.15,2.1
Berezniki,100,RU,1573952815,100,59.41,56.8,270.93,2.26
Ilulissat,18,GL,1573952821,48,69.22,-51.1,266.15,9.8
Urengoy,93,RU,1573952831,92,65.96,78.37,248.21,6.49
Bethel,97,US,1573952836,82,60.79,-161.76,260.55,8.24
Aksha,100,RU,1573952841,44,50.28,113.29,257.32,4.31
Ningxiang,84,CN,1573952846,77,28.28,112.55,292.15,2.0
San Patricio,0,PY,1573952852,65,-26.98,-56.83,292.7,3.07
Abdanan,0,IR,1573952857,31,32.99,47.42,279.53,3.51
Marieville,0,CA,1573952862,72,45.43,-73.16,265.93,1.87
Manggar,89,ID,1573952867,73,-2.88,108.27,301.75,5.19
Qaqortoq,100,GL,1573952872,40,60.72,-46.03,275.15,12.3
Darnah,100,LY,1573952877,61,32.77,22.64,293.87,5.52
San Jose de Gracia,90,MX,1573952883,62,20.67,-102.58,292.87,1.17
Caconda,80,AO,1573952888,98,-13.73,15.06,289.16,1.66
Ardesen,0,TR,1573952893,76,41.19,40.99,283.15,6.2
Kathmandu,75,NP,1573952898,93,27.71,85.32,287.15,1.0
Sur,48,OM,1573952903,43,22.57,59.53,294.26,1.47
Killybegs,100,IE,1573952909,95,54.63,-8.45,278.15,0.89
Semporna,75,MY,1573952914,83,4.48,118.61,301.15,1.0
Ginda,0,IN,1573952919,29,30.69,78.49,283.7,3.53
Kavaratti,97,IN,1573952924,71,10.57,72.64,301.38,1.59
Komsomolskiy,96,RU,1573952929,96,67.55,63.78,264.08,1.52
Banjar,12,ID,1573952935,79,-7.37,108.54,298.49,0.49
Broken Hill,17,AU,1573952940,41,-31.97,141.45,289.15,4.6
Kloulklubed,75,PW,1573952945,83,7.04,134.26,301.15,1.5
Onega,100,RU,1573952950,90,63.91,38.09,271.14,2.15
Mogadishu,24,SO,1573952955,82,2.04,45.34,300.44,9.12
Iracoubo,2,GF,1573952960,80,5.48,-53.21,301.09,6.37
Petrov Val,20,RU,1573952965,95,50.14,45.21,272.0,3.07
Ginir,50,ET,1573952976,76,7.14,40.71,285.32,2.15
Ahipara,46,NZ,1573952839,82,-35.17,173.16,291.62,7.08
Visby,85,SE,1573952986,75,57.64,18.3,281.48,8.7
Yakima,90,US,1573952991,70,46.6,-120.51,283.15,0.22
Poronaysk,80,RU,1573952997,63,49.22,143.1,270.58,14.98
Lazaro Cardenas,40,MX,1573953002,72,28.39,-105.62,288.71,1.94
Houma,64,CN,1573953007,49,35.63,111.36,281.45,1.72
Rantepao,16,ID,1573953012,61,-2.97,119.9,297.36,0.52
Owando,100,CG,1573953017,97,-0.49,15.91,295.53,1.43
Payson,20,US,1573952976,42,40.04,-111.73,283.15,3.1
Benicarlo,28,ES,1573953033,54,40.42,0.43,279.82,5.81
Chokurdakh,100,RU,1573953043,97,70.62,147.9,254.12,2.36
Katherine,48,AU,1573953048,46,-14.47,132.26,306.15,2.1
Kayerkan,35,RU,1573953053,70,69.35,87.76,253.15,4.0
Nattam,20,IN,1573953059,88,12.7,79.97,299.15,1.5
Baykit,59,RU,1573953064,97,61.68,96.39,239.87,1.04
